browse_name,node_id,variant_type,access_level,user_access_level,current_value,numeric,finite,live_validated,read_error
time,FourByteNodeId(i=10004),Variant,,,9.76,Y,Y,Y,
vpp52GTClosed,NumericNodeId(ns=1;i=200000275),Variant,,,True,Y,Y,Y,
vpp52GTTripCmd,NumericNodeId(ns=1;i=200000276),Variant,,,False,Y,Y,Y,
vpp52STClosed,NumericNodeId(ns=1;i=200000277),Variant,,,True,Y,Y,Y,
vpp52STTripCmd,NumericNodeId(ns=1;i=200000278),Variant,,,False,Y,Y,Y,
vppCauseDirectGTTrip,NumericNodeId(ns=1;i=200000279),Variant,,,False,Y,Y,Y,
vppCauseDirectSTTrip,NumericNodeId(ns=1;i=200000280),Variant,,,False,Y,Y,Y,
vppCauseGTBreakerOpenWhileRunning,NumericNodeId(ns=1;i=200000281),Variant,,,False,Y,Y,Y,
vppCauseHPDrumHH,NumericNodeId(ns=1;i=200000282),Variant,,,False,Y,Y,Y,
vppCauseHPDrumLL,NumericNodeId(ns=1;i=200000283),Variant,,,False,Y,Y,Y,
vppCauseIPDrumHH,NumericNodeId(ns=1;i=200000284),Variant,,,False,Y,Y,Y,
vppCauseIPDrumLL,NumericNodeId(ns=1;i=200000285),Variant,,,False,Y,Y,Y,
vppCauseLPDrumHH,NumericNodeId(ns=1;i=200000286),Variant,,,False,Y,Y,Y,
vppCauseLPDrumLL,NumericNodeId(ns=1;i=200000287),Variant,,,False,Y,Y,Y,
vppCondenserLevel,NumericNodeId(ns=1;i=100011920),Variant,,,1.4815372657955062,Y,Y,Y,
vppCondenserPressure,NumericNodeId(ns=1;i=100011921),Variant,,,10001.765252488316,Y,Y,Y,
vppCondenserSteamVolume.BH,NumericNodeId(ns=1;i=100011922),Variant,,,0.5138894319534302,Y,Y,Y,
vppCondenserSteamVolume.BQ,NumericNodeId(ns=1;i=100011923),Variant,,,0.0,Y,Y,Y,
vppCondenserSteamVolume.Ce1.P,NumericNodeId(ns=1;i=150002739),Variant,,,10001.765252488316,Y,Y,Y,
vppCondenserSteamVolume.Ce1.Q,NumericNodeId(ns=1;i=150002740),Variant,,,196.65268101389324,Y,Y,Y,
vppCondenserSteamVolume.Ce1.a,NumericNodeId(ns=1;i=200000288),Variant,,,True,Y,Y,Y,
vppCondenserSteamVolume.Ce1.b,NumericNodeId(ns=1;i=250000335),Variant,,,True,Y,Y,Y,
vppCondenserSteamVolume.Ce1.h,NumericNodeId(ns=1;i=150002741),Variant,,,2401498.2142287497,Y,Y,Y,
vppCondenserSteamVolume.Ce1.h_vol,NumericNodeId(ns=1;i=150002742),Variant,,,2401498.211651729,Y,Y,Y,
vppCondenserSteamVolume.Ce2.P,NumericNodeId(ns=1;i=150002743),Variant,,,10001.765787795182,Y,Y,Y,
vppCondenserSteamVolume.Ce2.Q,NumericNodeId(ns=1;i=150002744),Variant,,,0.0,Y,Y,Y,
vppCondenserSteamVolume.Ce2.a,NumericNodeId(ns=1;i=200000289),Variant,,,True,Y,Y,Y,
vppCondenserSteamVolume.Ce2.b,NumericNodeId(ns=1;i=250000336),Variant,,,True,Y,Y,Y,
vppCondenserSteamVolume.Ce2.h,NumericNodeId(ns=1;i=150002745),Variant,,,3517381.1340430966,Y,Y,Y,
vppCondenserSteamVolume.Ce2.h_vol,NumericNodeId(ns=1;i=150002746),Variant,,,2401498.211651729,Y,Y,Y,
vppCondenserSteamVolume.Ce3.P,NumericNodeId(ns=1;i=150002747),Variant,,,10001.765787795182,Y,Y,Y,
vppCondenserSteamVolume.Ce3.Q,NumericNodeId(ns=1;i=150002748),Variant,,,0.0,Y,Y,Y,
vppCondenserSteamVolume.Ce3.a,NumericNodeId(ns=1;i=200000290),Variant,,,True,Y,Y,Y,
vppCondenserSteamVolume.Ce3.b,NumericNodeId(ns=1;i=250000337),Variant,,,True,Y,Y,Y,
vppCondenserSteamVolume.Ce3.h_vol,NumericNodeId(ns=1;i=150002750),Variant,,,2401498.211651729,Y,Y,Y,
vppCondenserSteamVolume.Cs.P,NumericNodeId(ns=1;i=150002751),Variant,,,10001.765787795182,Y,Y,Y,
vppCondenserSteamVolume.Cs.Q,NumericNodeId(ns=1;i=150002752),Variant,,,196.65268183412815,Y,Y,Y,
vppCondenserSteamVolume.Cs.a,NumericNodeId(ns=1;i=250000338),Variant,,,True,Y,Y,Y,
vppCondenserSteamVolume.Cs.b,NumericNodeId(ns=1;i=200000291),Variant,,,True,Y,Y,Y,
vppCondenserSteamVolume.Cs.h,NumericNodeId(ns=1;i=150002753),Variant,,,2401498.2173310854,Y,Y,Y,
vppCondenserSteamVolume.Cs.h_vol,NumericNodeId(ns=1;i=150002754),Variant,,,2401498.2173310854,Y,Y,Y,
vppCondenserSteamVolume.P,NumericNodeId(ns=1;i=150002755),Variant,,,10001.76631785686,Y,Y,Y,
vppCondenserSteamVolume.Pthermo,NumericNodeId(ns=1;i=100011924),Variant,,,10001.76631785686,Y,Y,Y,
vppCondenserSteamVolume.T,NumericNodeId(ns=1;i=150002756),Variant,,,318.9610027507367,Y,Y,Y,
vppCondenserSteamVolume.h,NumericNodeId(ns=1;i=100000249),Variant,,,2401498.2173310854,Y,Y,Y,
vppCondenserSteamVolume.pro.T,NumericNodeId(ns=1;i=150002757),Variant,,,318.9610027507367,Y,Y,Y,
vppCondenserSteamVolume.pro.cp,NumericNodeId(ns=1;i=100011925),Variant,,,2111.936582939567,Y,Y,Y,
vppCondenserSteamVolume.pro.d,NumericNodeId(ns=1;i=100011926),Variant,,,0.07380207065762583,Y,Y,Y,
vppCondenserSteamVolume.pro.ddhp,NumericNodeId(ns=1;i=100011927),Variant,,,-3.339553124112804e-08,Y,Y,Y,
vppCondenserSteamVolume.pro.ddph,NumericNodeId(ns=1;i=100011928),Variant,,,7.069988029139409e-06,Y,Y,Y,
vppCondenserSteamVolume.pro.duhp,NumericNodeId(ns=1;i=100011929),Variant,,,31.937511240908883,Y,Y,Y,
vppCondenserSteamVolume.pro.duph,NumericNodeId(ns=1;i=100011930),Variant,,,511.3416276334807,Y,Y,Y,
vppCondenserSteamVolume.pro.s,NumericNodeId(ns=1;i=100011931),Variant,,,7576.990037205445,Y,Y,Y,
