port_name,direction,data_type,unit,control_point_id,role,model_binding,grounding_status,description_ko
FMU.VLV.HP_FWCV.MODE_AUTO,INPUT,Boolean,BOOL,HP_FWCV,AUTO_MAN_SELECT,fmuValveAdapter.HP_FWCV.modeAuto,FMU_CONNECTED,AUTO 모드 선택
FMU.VLV.HP_FWCV.MAN_CMD,INPUT,Real,pu,HP_FWCV,MANUAL_COMMAND,fmuValveAdapter.HP_FWCV.manualCmd,FMU_CONNECTED,FMU 외부 수동 개도명령
FMU.VLV.HP_FWCV.FAULT_ENABLE,INPUT,Boolean,BOOL,HP_FWCV,FAULT_ENABLE,fmuValveAdapter.HP_FWCV.faultEnable,FMU_CONNECTED,밸브 고장 주입 활성
FMU.VLV.HP_FWCV.FAULT_VALUE,INPUT,Real,pu,HP_FWCV,FAULT_FORCED_VALUE,fmuValveAdapter.HP_FWCV.faultValue,FMU_CONNECTED,고장 시 실제 강제 개도
FMU.VLV.HP_FWCV.AUTO_CMD,OUTPUT,Real,pu,HP_FWCV,AUTOMATIC_COMMAND,regulation_Niveau_HP.SortieReelle1,FMU_CONNECTED,기존 자동제어기 또는 원래 신호의 명령
FMU.VLV.HP_FWCV.CMD,OUTPUT,Real,pu,HP_FWCV,SELECTED_COMMAND,fmuValveAdapter.HP_FWCV.selectedCmd,FMU_CONNECTED,AUTO/MAN 선택 후 정상 명령
FMU.VLV.HP_FWCV.FB,OUTPUT,Real,pu,HP_FWCV,APPLIED_POSITION,vanne_alimentationHP.Cv/vanne_alimentationHP.Cvmax,FMU_CONNECTED,고장 반영 후 모델에 실제 적용되는 밸브 개도
FMU.VLV.HP_FWCV.DEVIATION,OUTPUT,Real,pu,HP_FWCV,COMMAND_FEEDBACK_DEVIATION,fmuValveAdapter.HP_FWCV.deviation,FMU_CONNECTED,CMD와 FB의 편차
FMU.VLV.HP_FWCV.FAULT_ACTIVE,OUTPUT,Boolean,BOOL,HP_FWCV,FAULT_STATUS,fmuValveAdapter.HP_FWCV.faultActive,FMU_CONNECTED,명령과 분리된 고장상태
FMU.VLV.HP_FWCV.CV,OUTPUT,Real,Cv,HP_FWCV,SOLVED_CV,vanne_alimentationHP.Cv,FMU_CONNECTED,ThermoSysPro가 계산한 밸브 Cv
FMU.VLV.HP_FWCV.MASS_FLOW,OUTPUT,Real,t/h,HP_FWCV,SOLVED_MASS_FLOW,3.6*(vanne_alimentationHP.Q),FMU_CONNECTED,밸브 통과 질량유량
FMU.VLV.HP_FWCV.DP,OUTPUT,Real,Pa,HP_FWCV,SOLVED_PRESSURE_DROP,vanne_alimentationHP.C1.P-vanne_alimentationHP.C2.P,FMU_CONNECTED,밸브 전후 차압
FMU.VLV.HP_STEAM_VLV.MODE_AUTO,INPUT,Boolean,BOOL,HP_STEAM_VLV,AUTO_MAN_SELECT,fmuValveAdapter.HP_STEAM_VLV.modeAuto,FMU_CONNECTED,AUTO 모드 선택
FMU.VLV.HP_STEAM_VLV.MAN_CMD,INPUT,Real,pu,HP_STEAM_VLV,MANUAL_COMMAND,fmuValveAdapter.HP_STEAM_VLV.manualCmd,FMU_CONNECTED,FMU 외부 수동 개도명령
FMU.VLV.HP_STEAM_VLV.FAULT_ENABLE,INPUT,Boolean,BOOL,HP_STEAM_VLV,FAULT_ENABLE,fmuValveAdapter.HP_STEAM_VLV.faultEnable,FMU_CONNECTED,밸브 고장 주입 활성
FMU.VLV.HP_STEAM_VLV.FAULT_VALUE,INPUT,Real,pu,HP_STEAM_VLV,FAULT_FORCED_VALUE,fmuValveAdapter.HP_STEAM_VLV.faultValue,FMU_CONNECTED,고장 시 실제 강제 개도
FMU.VLV.HP_STEAM_VLV.AUTO_CMD,OUTPUT,Real,pu,HP_STEAM_VLV,AUTOMATIC_COMMAND,constante_vanne_vapeurHP.y.signal,FMU_CONNECTED,기존 자동제어기 또는 원래 신호의 명령
FMU.VLV.HP_STEAM_VLV.CMD,OUTPUT,Real,pu,HP_STEAM_VLV,SELECTED_COMMAND,fmuValveAdapter.HP_STEAM_VLV.selectedCmd,FMU_CONNECTED,AUTO/MAN 선택 후 정상 명령
FMU.VLV.HP_STEAM_VLV.FB,OUTPUT,Real,pu,HP_STEAM_VLV,APPLIED_POSITION,vanne_vapeurHP.Cv/vanne_vapeurHP.Cvmax,FMU_CONNECTED,고장 반영 후 모델에 실제 적용되는 밸브 개도
FMU.VLV.HP_STEAM_VLV.DEVIATION,OUTPUT,Real,pu,HP_STEAM_VLV,COMMAND_FEEDBACK_DEVIATION,fmuValveAdapter.HP_STEAM_VLV.deviation,FMU_CONNECTED,CMD와 FB의 편차
