rule_id,from_id,to_id,edge_role
AL-GT-FLOW-L,logic:AL-GT-FLOW-L,delay:AL-GT-FLOW-L,DEFINED_DELAY
AL-GT-FLOW-L,PORT:IN-01,logic:AL-GT-FLOW-L,INPUT
AL-GT-FLOW-L,delay:AL-GT-FLOW-L,PORT:OUT-01,OUTPUT
AL-GT-FLOW-LL,logic:AL-GT-FLOW-LL,delay:AL-GT-FLOW-LL,DEFINED_DELAY
AL-GT-FLOW-LL,PORT:IN-01,logic:AL-GT-FLOW-LL,INPUT
AL-GT-FLOW-LL,delay:AL-GT-FLOW-LL,PORT:OUT-01,OUTPUT
AL-GT-TEMP-L,logic:AL-GT-TEMP-L,delay:AL-GT-TEMP-L,DEFINED_DELAY
AL-GT-TEMP-L,PORT:IN-01,logic:AL-GT-TEMP-L,INPUT
AL-GT-TEMP-L,delay:AL-GT-TEMP-L,PORT:OUT-01,OUTPUT
AL-GT-TEMP-LL,logic:AL-GT-TEMP-LL,delay:AL-GT-TEMP-LL,DEFINED_DELAY
AL-GT-TEMP-LL,PORT:IN-01,logic:AL-GT-TEMP-LL,INPUT
AL-GT-TEMP-LL,delay:AL-GT-TEMP-LL,PORT:OUT-01,OUTPUT
AL-HP-FLOW-L,logic:AL-HP-FLOW-L,delay:AL-HP-FLOW-L,DEFINED_DELAY
AL-HP-FLOW-L,PORT:IN-01,logic:AL-HP-FLOW-L,INPUT
AL-HP-FLOW-L,delay:AL-HP-FLOW-L,PORT:OUT-01,OUTPUT
AL-HP-FLOW-LL,logic:AL-HP-FLOW-LL,delay:AL-HP-FLOW-LL,DEFINED_DELAY
AL-HP-FLOW-LL,PORT:IN-01,logic:AL-HP-FLOW-LL,INPUT
AL-HP-FLOW-LL,delay:AL-HP-FLOW-LL,PORT:OUT-01,OUTPUT
AL-HP-LEVEL-H,logic:AL-HP-LEVEL-H,delay:AL-HP-LEVEL-H,DEFINED_DELAY
AL-HP-LEVEL-H,PORT:IN-01,logic:AL-HP-LEVEL-H,INPUT
AL-HP-LEVEL-H,delay:AL-HP-LEVEL-H,PORT:OUT-01,OUTPUT
AL-HP-LEVEL-HH,logic:AL-HP-LEVEL-HH,delay:AL-HP-LEVEL-HH,DEFINED_DELAY
AL-HP-LEVEL-HH,PORT:IN-01,logic:AL-HP-LEVEL-HH,INPUT
AL-HP-LEVEL-HH,delay:AL-HP-LEVEL-HH,PORT:OUT-01,OUTPUT
AL-HP-LEVEL-L,logic:AL-HP-LEVEL-L,delay:AL-HP-LEVEL-L,DEFINED_DELAY
AL-HP-LEVEL-L,PORT:IN-01,logic:AL-HP-LEVEL-L,INPUT
AL-HP-LEVEL-L,delay:AL-HP-LEVEL-L,PORT:OUT-01,OUTPUT
