input_group_id,input_signature,branch_count,rule_ids,outputs,page_id
IG-001,vppGTExhaustMassFlowState,2,AL-GT-FLOW-L; AL-GT-FLOW-LL,GT.EXHAUST.FLOW.L; GT.EXHAUST.FLOW.LL,IG-001
IG-002,vppGTExhaustTemperatureK,2,AL-GT-TEMP-L; AL-GT-TEMP-LL,GT.EXHAUST.TEMP.L; GT.EXHAUST.TEMP.LL,IG-002
IG-003,vppHPDrumLevelM,4,AL-HP-LEVEL-H; AL-HP-LEVEL-HH; AL-HP-LEVEL-L; AL-HP-LEVEL-LL,HRSG.HP.DRUM.LEVEL.H; HRSG.HP.DRUM.LEVEL.HH; HRSG.HP.DRUM.LEVEL.L; HRSG.HP.DRUM.LEVEL.LL,IG-003
IG-004,vppHPDrumPressurePa,2,AL-HP-PRESS-L; AL-HP-PRESS-LL,HRSG.HP.DRUM.PRESS.L; HRSG.HP.DRUM.PRESS.LL,IG-004
IG-005,vppHPTurbineSteamFlowTH,2,AL-HP-FLOW-L; AL-HP-FLOW-LL,HRSG.HP.STEAM.FLOW.L; HRSG.HP.STEAM.FLOW.LL,IG-005
IG-006,vppIPDrumLevelM,4,AL-IP-LEVEL-H; AL-IP-LEVEL-HH; AL-IP-LEVEL-L; AL-IP-LEVEL-LL,HRSG.IP.DRUM.LEVEL.H; HRSG.IP.DRUM.LEVEL.HH; HRSG.IP.DRUM.LEVEL.L; HRSG.IP.DRUM.LEVEL.LL,IG-006
IG-007,vppIPDrumPressurePa,2,AL-IP-PRESS-L; AL-IP-PRESS-LL,HRSG.IP.DRUM.PRESS.L; HRSG.IP.DRUM.PRESS.LL,IG-007
IG-008,vppIPTurbineSteamFlowTH,2,AL-IP-FLOW-L; AL-IP-FLOW-LL,HRSG.IP.STEAM.FLOW.L; HRSG.IP.STEAM.FLOW.LL,IG-008
IG-009,vppLPDrumLevelM,4,AL-LP-LEVEL-H; AL-LP-LEVEL-HH; AL-LP-LEVEL-L; AL-LP-LEVEL-LL,HRSG.LP.DRUM.LEVEL.H; HRSG.LP.DRUM.LEVEL.HH; HRSG.LP.DRUM.LEVEL.L; HRSG.LP.DRUM.LEVEL.LL,IG-009
IG-010,vppLPDrumPressurePa,2,AL-LP-PRESS-L; AL-LP-PRESS-LL,HRSG.LP.DRUM.PRESS.L; HRSG.LP.DRUM.PRESS.LL,IG-010
IG-011,vppLPTurbineSteamFlowTH,2,AL-LP-FLOW-L; AL-LP-FLOW-LL,HRSG.LP.STEAM.FLOW.L; HRSG.LP.STEAM.FLOW.LL,IG-011
IG-012,vppExternalTripCommandNative,1,PROT-DIRECT-GT,vppCauseDirectGTTrip,IG-012
IG-013,vppExternalSTTripCommandNative,1,PROT-DIRECT-ST,vppCauseDirectSTTrip,IG-013
IG-014,vppECMS52GTClosedCommandNative | vppGTTripLatchInternal,1,PROT-GT-BRK-OPEN,vppCauseGTBreakerOpenWhileRunning,IG-014
IG-015,vppHPDrumHHRaw,1,PROT-HP-DRUM-HH,vppCauseHPDrumHH,IG-015
IG-016,vppHPDrumLLRaw,1,PROT-HP-DRUM-LL,vppCauseHPDrumLL,IG-016
IG-017,vppIPDrumHHRaw,1,PROT-IP-DRUM-HH,vppCauseIPDrumHH,IG-017
IG-018,vppIPDrumLLRaw,1,PROT-IP-DRUM-LL,vppCauseIPDrumLL,IG-018
IG-019,vppLPDrumHHRaw,1,PROT-LP-DRUM-HH,vppCauseLPDrumHH,IG-019
IG-020,vppLPDrumLLRaw,1,PROT-LP-DRUM-LL,vppCauseLPDrumLL,IG-020
IG-021,vppCauseDirectGTTrip | vppCauseGTBreakerOpenWhileRunning | vppCauseHPDrumLL | vppCauseIPDrumLL | vppCauseLPDrumLL,1,PROT-GT-REQUEST,vppGTTripRequest,IG-021
IG-022,vppCauseDirectGTTrip | vppCauseDirectSTTrip | vppCauseGTBreakerOpenWhileRunning | vppCauseHPDrumHH | vppCauseHPDrumLL | vppCauseIPDrumHH | vppCauseIPDrumLL | vppCauseLPDrumHH | vppCauseLPDrumLL,1,PROT-ST-REQUEST,vppSTTripRequest,IG-022
IG-023,vppGTTripRequest | vppGTTripResetNative,1,PROT-GT-LATCH,vppGTTripLatch,IG-023
IG-024,vppSTTripRequest | vppSTTripResetNative,1,PROT-ST-LATCH,vppSTTripLatchPublished,IG-024
IG-025,vppGTTripLatch,1,SEQ-52GT-TRIPCMD,vpp52GTTripCmd,IG-025
IG-026,vppECMS52GTClosedCommandNative | vppGTTripLatch,1,SEQ-52GT-OPEN,vpp52GTClosed,IG-026
IG-027,vppSTTripLatchPublished,1,SEQ-52ST-TRIPCMD,vpp52STTripCmd,IG-027
IG-028,vppECMS52STClosedCommandNative | vppSTTripLatchPublished,1,SEQ-52ST-OPEN,vpp52STClosed,IG-028
IG-029,vpp52GTClosed,2,RESP-GT-POWER; RESP-GT-SPEED,vppGTGPowerMW; vppGTGSpeedRPM,IG-029
IG-030,vppHPFWPTripPushbuttonNative,1,CMD-FWP-HP-TRIP,vppHPFWPTripCommandNative; vppHPFWPTripLatchNative; vppVCBA01TripCommandNative,IG-030
IG-031,vppHPFWPResetPushbuttonNative,1,CMD-FWP-HP-RESET,vppHPFWPTripLatchNative,IG-031
IG-032,vppIPFWPTripPushbuttonNative,1,CMD-FWP-IP-TRIP,vppIPFWPTripCommandNative; vppIPFWPTripLatchNative; vppVCBB01TripCommandNative,IG-032
IG-033,vppIPFWPResetPushbuttonNative,1,CMD-FWP-IP-RESET,vppIPFWPTripLatchNative,IG-033
IG-034,vppLPFWPTripPushbuttonNative,1,CMD-FWP-LP-TRIP,vppLPFWPTripCommandNative; vppLPFWPTripLatchNative; vppVCBA02TripCommandNative,IG-034
IG-035,vppLPFWPResetPushbuttonNative,1,CMD-FWP-LP-RESET,vppLPFWPTripLatchNative,IG-035
