rule_id,port_id,relation,node_or_tag,kind
AL-GT-FLOW-L,IN-01,INPUT,vppGTExhaustMassFlowState,RAW_NODE
AL-GT-FLOW-L,OUT-01,OUTPUT,GT.EXHAUST.FLOW.L,DERIVED_TAG
AL-GT-FLOW-LL,IN-01,INPUT,vppGTExhaustMassFlowState,RAW_NODE
AL-GT-FLOW-LL,OUT-01,OUTPUT,GT.EXHAUST.FLOW.LL,DERIVED_TAG
AL-GT-TEMP-L,IN-01,INPUT,vppGTExhaustTemperatureK,RAW_NODE
AL-GT-TEMP-L,OUT-01,OUTPUT,GT.EXHAUST.TEMP.L,DERIVED_TAG
AL-GT-TEMP-LL,IN-01,INPUT,vppGTExhaustTemperatureK,RAW_NODE
AL-GT-TEMP-LL,OUT-01,OUTPUT,GT.EXHAUST.TEMP.LL,DERIVED_TAG
AL-HP-FLOW-L,IN-01,INPUT,vppHPTurbineSteamFlowTH,RAW_NODE
AL-HP-FLOW-L,OUT-01,OUTPUT,HRSG.HP.STEAM.FLOW.L,DERIVED_TAG
AL-HP-FLOW-LL,IN-01,INPUT,vppHPTurbineSteamFlowTH,RAW_NODE
AL-HP-FLOW-LL,OUT-01,OUTPUT,HRSG.HP.STEAM.FLOW.LL,DERIVED_TAG
AL-HP-LEVEL-H,IN-01,INPUT,vppHPDrumLevelM,RAW_NODE
AL-HP-LEVEL-H,OUT-01,OUTPUT,HRSG.HP.DRUM.LEVEL.H,DERIVED_TAG
AL-HP-LEVEL-HH,IN-01,INPUT,vppHPDrumLevelM,RAW_NODE
AL-HP-LEVEL-HH,OUT-01,OUTPUT,HRSG.HP.DRUM.LEVEL.HH,DERIVED_TAG
AL-HP-LEVEL-L,IN-01,INPUT,vppHPDrumLevelM,RAW_NODE
AL-HP-LEVEL-L,OUT-01,OUTPUT,HRSG.HP.DRUM.LEVEL.L,DERIVED_TAG
AL-HP-LEVEL-LL,IN-01,INPUT,vppHPDrumLevelM,RAW_NODE
AL-HP-LEVEL-LL,OUT-01,OUTPUT,HRSG.HP.DRUM.LEVEL.LL,DERIVED_TAG
AL-HP-PRESS-L,IN-01,INPUT,vppHPDrumPressurePa,RAW_NODE
AL-HP-PRESS-L,OUT-01,OUTPUT,HRSG.HP.DRUM.PRESS.L,DERIVED_TAG
AL-HP-PRESS-LL,IN-01,INPUT,vppHPDrumPressurePa,RAW_NODE
AL-HP-PRESS-LL,OUT-01,OUTPUT,HRSG.HP.DRUM.PRESS.LL,DERIVED_TAG
AL-IP-FLOW-L,IN-01,INPUT,vppIPTurbineSteamFlowTH,RAW_NODE
AL-IP-FLOW-L,OUT-01,OUTPUT,HRSG.IP.STEAM.FLOW.L,DERIVED_TAG
AL-IP-FLOW-LL,IN-01,INPUT,vppIPTurbineSteamFlowTH,RAW_NODE
AL-IP-FLOW-LL,OUT-01,OUTPUT,HRSG.IP.STEAM.FLOW.LL,DERIVED_TAG
AL-IP-LEVEL-H,IN-01,INPUT,vppIPDrumLevelM,RAW_NODE
AL-IP-LEVEL-H,OUT-01,OUTPUT,HRSG.IP.DRUM.LEVEL.H,DERIVED_TAG
AL-IP-LEVEL-HH,IN-01,INPUT,vppIPDrumLevelM,RAW_NODE
AL-IP-LEVEL-HH,OUT-01,OUTPUT,HRSG.IP.DRUM.LEVEL.HH,DERIVED_TAG
AL-IP-LEVEL-L,IN-01,INPUT,vppIPDrumLevelM,RAW_NODE
AL-IP-LEVEL-L,OUT-01,OUTPUT,HRSG.IP.DRUM.LEVEL.L,DERIVED_TAG
AL-IP-LEVEL-LL,IN-01,INPUT,vppIPDrumLevelM,RAW_NODE
AL-IP-LEVEL-LL,OUT-01,OUTPUT,HRSG.IP.DRUM.LEVEL.LL,DERIVED_TAG
AL-IP-PRESS-L,IN-01,INPUT,vppIPDrumPressurePa,RAW_NODE
AL-IP-PRESS-L,OUT-01,OUTPUT,HRSG.IP.DRUM.PRESS.L,DERIVED_TAG
AL-IP-PRESS-LL,IN-01,INPUT,vppIPDrumPressurePa,RAW_NODE
AL-IP-PRESS-LL,OUT-01,OUTPUT,HRSG.IP.DRUM.PRESS.LL,DERIVED_TAG
AL-LP-FLOW-L,IN-01,INPUT,vppLPTurbineSteamFlowTH,RAW_NODE
AL-LP-FLOW-L,OUT-01,OUTPUT,HRSG.LP.STEAM.FLOW.L,DERIVED_TAG
AL-LP-FLOW-LL,IN-01,INPUT,vppLPTurbineSteamFlowTH,RAW_NODE
AL-LP-FLOW-LL,OUT-01,OUTPUT,HRSG.LP.STEAM.FLOW.LL,DERIVED_TAG
AL-LP-LEVEL-H,IN-01,INPUT,vppLPDrumLevelM,RAW_NODE
AL-LP-LEVEL-H,OUT-01,OUTPUT,HRSG.LP.DRUM.LEVEL.H,DERIVED_TAG
AL-LP-LEVEL-HH,IN-01,INPUT,vppLPDrumLevelM,RAW_NODE
AL-LP-LEVEL-HH,OUT-01,OUTPUT,HRSG.LP.DRUM.LEVEL.HH,DERIVED_TAG
AL-LP-LEVEL-L,IN-01,INPUT,vppLPDrumLevelM,RAW_NODE
AL-LP-LEVEL-L,OUT-01,OUTPUT,HRSG.LP.DRUM.LEVEL.L,DERIVED_TAG
AL-LP-LEVEL-LL,IN-01,INPUT,vppLPDrumLevelM,RAW_NODE
AL-LP-LEVEL-LL,OUT-01,OUTPUT,HRSG.LP.DRUM.LEVEL.LL,DERIVED_TAG
