rule_id,input_group_id,input_nodes,source_outputs,derived_outputs,missing_inputs,missing_outputs,link_status,source_existence,behaviour_status
AL-GT-FLOW-L,IG-001,vppGTExhaustMassFlowState,,GT.EXHAUST.FLOW.L,,,EXACT_REGISTERED_IDENTITIES,LIVE_CENSUS_RESOLVED,PARTIAL
AL-GT-FLOW-LL,IG-001,vppGTExhaustMassFlowState,,GT.EXHAUST.FLOW.LL,,,EXACT_REGISTERED_IDENTITIES,LIVE_CENSUS_RESOLVED,PARTIAL
AL-GT-TEMP-L,IG-002,vppGTExhaustTemperatureK,,GT.EXHAUST.TEMP.L,,,EXACT_REGISTERED_IDENTITIES,LIVE_CENSUS_RESOLVED,PARTIAL
AL-GT-TEMP-LL,IG-002,vppGTExhaustTemperatureK,,GT.EXHAUST.TEMP.LL,,,EXACT_REGISTERED_IDENTITIES,LIVE_CENSUS_RESOLVED,PARTIAL
AL-HP-FLOW-L,IG-005,vppHPTurbineSteamFlowTH,,HRSG.HP.STEAM.FLOW.L,,,EXACT_REGISTERED_IDENTITIES,LIVE_CENSUS_RESOLVED,PARTIAL
AL-HP-FLOW-LL,IG-005,vppHPTurbineSteamFlowTH,,HRSG.HP.STEAM.FLOW.LL,,,EXACT_REGISTERED_IDENTITIES,LIVE_CENSUS_RESOLVED,PARTIAL
AL-HP-LEVEL-H,IG-003,vppHPDrumLevelM,,HRSG.HP.DRUM.LEVEL.H,,,EXACT_REGISTERED_IDENTITIES,LIVE_CENSUS_RESOLVED,PARTIAL
AL-HP-LEVEL-HH,IG-003,vppHPDrumLevelM,,HRSG.HP.DRUM.LEVEL.HH,,,EXACT_REGISTERED_IDENTITIES,LIVE_CENSUS_RESOLVED,PARTIAL
AL-HP-LEVEL-L,IG-003,vppHPDrumLevelM,,HRSG.HP.DRUM.LEVEL.L,,,EXACT_REGISTERED_IDENTITIES,LIVE_CENSUS_RESOLVED,PARTIAL
AL-HP-LEVEL-LL,IG-003,vppHPDrumLevelM,,HRSG.HP.DRUM.LEVEL.LL,,,EXACT_REGISTERED_IDENTITIES,LIVE_CENSUS_RESOLVED,PARTIAL
AL-HP-PRESS-L,IG-004,vppHPDrumPressurePa,,HRSG.HP.DRUM.PRESS.L,,,EXACT_REGISTERED_IDENTITIES,LIVE_CENSUS_RESOLVED,PARTIAL
AL-HP-PRESS-LL,IG-004,vppHPDrumPressurePa,,HRSG.HP.DRUM.PRESS.LL,,,EXACT_REGISTERED_IDENTITIES,LIVE_CENSUS_RESOLVED,PARTIAL
AL-IP-FLOW-L,IG-008,vppIPTurbineSteamFlowTH,,HRSG.IP.STEAM.FLOW.L,,,EXACT_REGISTERED_IDENTITIES,LIVE_CENSUS_RESOLVED,PARTIAL
AL-IP-FLOW-LL,IG-008,vppIPTurbineSteamFlowTH,,HRSG.IP.STEAM.FLOW.LL,,,EXACT_REGISTERED_IDENTITIES,LIVE_CENSUS_RESOLVED,PARTIAL
AL-IP-LEVEL-H,IG-006,vppIPDrumLevelM,,HRSG.IP.DRUM.LEVEL.H,,,EXACT_REGISTERED_IDENTITIES,LIVE_CENSUS_RESOLVED,PARTIAL
AL-IP-LEVEL-HH,IG-006,vppIPDrumLevelM,,HRSG.IP.DRUM.LEVEL.HH,,,EXACT_REGISTERED_IDENTITIES,LIVE_CENSUS_RESOLVED,PARTIAL
AL-IP-LEVEL-L,IG-006,vppIPDrumLevelM,,HRSG.IP.DRUM.LEVEL.L,,,EXACT_REGISTERED_IDENTITIES,LIVE_CENSUS_RESOLVED,PARTIAL
AL-IP-LEVEL-LL,IG-006,vppIPDrumLevelM,,HRSG.IP.DRUM.LEVEL.LL,,,EXACT_REGISTERED_IDENTITIES,LIVE_CENSUS_RESOLVED,PARTIAL
AL-IP-PRESS-L,IG-007,vppIPDrumPressurePa,,HRSG.IP.DRUM.PRESS.L,,,EXACT_REGISTERED_IDENTITIES,LIVE_CENSUS_RESOLVED,PARTIAL
AL-IP-PRESS-LL,IG-007,vppIPDrumPressurePa,,HRSG.IP.DRUM.PRESS.LL,,,EXACT_REGISTERED_IDENTITIES,LIVE_CENSUS_RESOLVED,PARTIAL
AL-LP-FLOW-L,IG-011,vppLPTurbineSteamFlowTH,,HRSG.LP.STEAM.FLOW.L,,,EXACT_REGISTERED_IDENTITIES,LIVE_CENSUS_RESOLVED,PARTIAL
AL-LP-FLOW-LL,IG-011,vppLPTurbineSteamFlowTH,,HRSG.LP.STEAM.FLOW.LL,,,EXACT_REGISTERED_IDENTITIES,LIVE_CENSUS_RESOLVED,PARTIAL
AL-LP-LEVEL-H,IG-009,vppLPDrumLevelM,,HRSG.LP.DRUM.LEVEL.H,,,EXACT_REGISTERED_IDENTITIES,LIVE_CENSUS_RESOLVED,PARTIAL
AL-LP-LEVEL-HH,IG-009,vppLPDrumLevelM,,HRSG.LP.DRUM.LEVEL.HH,,,EXACT_REGISTERED_IDENTITIES,LIVE_CENSUS_RESOLVED,PARTIAL
AL-LP-LEVEL-L,IG-009,vppLPDrumLevelM,,HRSG.LP.DRUM.LEVEL.L,,,EXACT_REGISTERED_IDENTITIES,LIVE_CENSUS_RESOLVED,PARTIAL
AL-LP-LEVEL-LL,IG-009,vppLPDrumLevelM,,HRSG.LP.DRUM.LEVEL.LL,,,EXACT_REGISTERED_IDENTITIES,LIVE_CENSUS_RESOLVED,PARTIAL
AL-LP-PRESS-L,IG-010,vppLPDrumPressurePa,,HRSG.LP.DRUM.PRESS.L,,,EXACT_REGISTERED_IDENTITIES,LIVE_CENSUS_RESOLVED,PARTIAL
AL-LP-PRESS-LL,IG-010,vppLPDrumPressurePa,,HRSG.LP.DRUM.PRESS.LL,,,EXACT_REGISTERED_IDENTITIES,LIVE_CENSUS_RESOLVED,PARTIAL
CMD-FWP-HP-RESET,IG-031,vppHPFWPResetPushbuttonNative,vppHPFWPTripLatchNative,,,,EXACT_REGISTERED_IDENTITIES,LIVE_CENSUS_RESOLVED,PARTIAL
CMD-FWP-HP-TRIP,IG-030,vppHPFWPTripPushbuttonNative,vppHPFWPTripCommandNative | vppHPFWPTripLatchNative | vppVCBA01TripCommandNative,,,,EXACT_REGISTERED_IDENTITIES,LIVE_CENSUS_RESOLVED,PARTIAL
CMD-FWP-IP-RESET,IG-033,vppIPFWPResetPushbuttonNative,vppIPFWPTripLatchNative,,,,EXACT_REGISTERED_IDENTITIES,LIVE_CENSUS_RESOLVED,PARTIAL
CMD-FWP-IP-TRIP,IG-032,vppIPFWPTripPushbuttonNative,vppIPFWPTripCommandNative | vppIPFWPTripLatchNative | vppVCBB01TripCommandNative,,,,EXACT_REGISTERED_IDENTITIES,LIVE_CENSUS_RESOLVED,PARTIAL
CMD-FWP-LP-RESET,IG-035,vppLPFWPResetPushbuttonNative,vppLPFWPTripLatchNative,,,,EXACT_REGISTERED_IDENTITIES,LIVE_CENSUS_RESOLVED,PARTIAL
CMD-FWP-LP-TRIP,IG-034,vppLPFWPTripPushbuttonNative,vppLPFWPTripCommandNative | vppLPFWPTripLatchNative | vppVCBA02TripCommandNative,,,,EXACT_REGISTERED_IDENTITIES,LIVE_CENSUS_RESOLVED,PARTIAL
PROT-DIRECT-GT,IG-012,vppExternalTripCommandNative,vppCauseDirectGTTrip,,,,EXACT_REGISTERED_IDENTITIES,LIVE_CENSUS_RESOLVED,PASS
PROT-DIRECT-ST,IG-013,vppExternalSTTripCommandNative,vppCauseDirectSTTrip,,,,EXACT_REGISTERED_IDENTITIES,LIVE_CENSUS_RESOLVED,PASS
PROT-GT-BRK-OPEN,IG-014,vppECMS52GTClosedCommandNative | vppGTTripLatchInternal,vppCauseGTBreakerOpenWhileRunning,,,,EXACT_REGISTERED_IDENTITIES,LIVE_CENSUS_RESOLVED,PARTIAL
PROT-GT-LATCH,IG-023,vppGTTripRequest | vppGTTripResetNative,vppGTTripLatch,,,,EXACT_REGISTERED_IDENTITIES,LIVE_CENSUS_RESOLVED,PASS
PROT-GT-REQUEST,IG-021,vppCauseDirectGTTrip | vppCauseGTBreakerOpenWhileRunning | vppCauseHPDrumLL | vppCauseIPDrumLL | vppCauseLPDrumLL,vppGTTripRequest,,,,EXACT_REGISTERED_IDENTITIES,LIVE_CENSUS_RESOLVED,PASS
PROT-HP-DRUM-HH,IG-015,vppHPDrumHHRaw,vppCauseHPDrumHH,,,,EXACT_REGISTERED_IDENTITIES,LIVE_CENSUS_RESOLVED,PARTIAL
PROT-HP-DRUM-LL,IG-016,vppHPDrumLLRaw,vppCauseHPDrumLL,,,,EXACT_REGISTERED_IDENTITIES,LIVE_CENSUS_RESOLVED,PARTIAL
PROT-IP-DRUM-HH,IG-017,vppIPDrumHHRaw,vppCauseIPDrumHH,,,,EXACT_REGISTERED_IDENTITIES,LIVE_CENSUS_RESOLVED,PARTIAL
PROT-IP-DRUM-LL,IG-018,vppIPDrumLLRaw,vppCauseIPDrumLL,,,,EXACT_REGISTERED_IDENTITIES,LIVE_CENSUS_RESOLVED,PARTIAL
PROT-LP-DRUM-HH,IG-019,vppLPDrumHHRaw,vppCauseLPDrumHH,,,,EXACT_REGISTERED_IDENTITIES,LIVE_CENSUS_RESOLVED,PARTIAL
PROT-LP-DRUM-LL,IG-020,vppLPDrumLLRaw,vppCauseLPDrumLL,,,,EXACT_REGISTERED_IDENTITIES,LIVE_CENSUS_RESOLVED,PARTIAL
PROT-ST-LATCH,IG-024,vppSTTripRequest | vppSTTripResetNative,vppSTTripLatchPublished,,,,EXACT_REGISTERED_IDENTITIES,LIVE_CENSUS_RESOLVED,PASS
PROT-ST-REQUEST,IG-022,vppCauseDirectGTTrip | vppCauseDirectSTTrip | vppCauseGTBreakerOpenWhileRunning | vppCauseHPDrumHH | vppCauseIPDrumHH | vppCauseLPDrumHH | vppCauseHPDrumLL | vppCauseIPDrumLL | vppCauseLPDrumLL,vppSTTripRequest,,,,EXACT_REGISTERED_IDENTITIES,LIVE_CENSUS_RESOLVED,PASS
RESP-GT-POWER,IG-029,vpp52GTClosed,vppGTGPowerMW,,,,EXACT_REGISTERED_IDENTITIES,LIVE_CENSUS_RESOLVED,PASS
RESP-GT-SPEED,IG-029,vpp52GTClosed,vppGTGSpeedRPM,,,,EXACT_REGISTERED_IDENTITIES,LIVE_CENSUS_RESOLVED,PASS
RESP-ST-GRID-POWER,IG-036,vpp52STClosed | vppSTGeneratorPowerMW,vppSTGridPowerMW,,,,EXACT_REGISTERED_IDENTITIES,LIVE_CENSUS_RESOLVED,PARTIAL
SEQ-52GT-OPEN,IG-026,vppGTTripLatch | vppECMS52GTClosedCommandNative,vpp52GTClosed,,,,EXACT_REGISTERED_IDENTITIES,LIVE_CENSUS_RESOLVED,PASS
SEQ-52GT-TRIPCMD,IG-025,vppGTTripLatch,vpp52GTTripCmd,,,,EXACT_REGISTERED_IDENTITIES,LIVE_CENSUS_RESOLVED,PASS
SEQ-52ST-OPEN,IG-028,vppSTTripLatchPublished | vppECMS52STClosedCommandNative,vpp52STClosed,,,,EXACT_REGISTERED_IDENTITIES,LIVE_CENSUS_RESOLVED,PASS
SEQ-52ST-TRIPCMD,IG-027,vppSTTripLatchPublished,vpp52STTripCmd,,,,EXACT_REGISTERED_IDENTITIES,LIVE_CENSUS_RESOLVED,PASS
